id,definition,created_at,updated_at,name,parent_id,pft_type,modeltype_id
1000000013,"",2015-11-06 13:43:55.898887,2017-11-08 22:16:35.078099,Picea.Glauca_White.Spruce,,plant,1000000002
1000000110,PFT for GDAY. Mostly made for loblolly pine.,2017-12-08 20:03:25.822398,2017-12-08 20:03:25.822398,temperate_southern_pine,,plant,1000000007
1000000111,"Southern Pine (early successional conifer) for eastern temperate forest.  Default PFT = 7.  Archetypes are loblolly, slash, and long-leaf pines.",2017-12-08 20:24:18.097712,2017-12-09 20:49:30.547637,temperate.Southern_Pine_DELETE,20,plant,1000000001
1000000177,White spruce uvafme,2020-06-23 14:18:26.630603,2020-06-23 14:18:26.630603,Picea_glauca,,plant,1000000015
1000000001,"DALEC evergreen.

Species copied from ED2
temperate.Southern_Pine
temperate.Northern_Pine
temperate.Late_Conifer
temperate.Early_Conifer
",2014-07-29 16:33:11.623898,2017-12-09 21:03:09.937451,evergreen,,plant,1000000001
1000000121,Shade-tolerant tropical broadleaved evergreen tree - Global PFT,2018-10-24 13:58:42.716249,2018-10-24 13:58:42.716249,TrBE,,plant,1000000006
1000000115,SIPNET Temperate Deciduous  PFT with priors on all parameters,2018-07-04 19:06:13.536556,2018-07-04 19:07:32.558209,temperate.deciduous.ALL,1000000105,plant,3
1000000129,Created for running models at Barro Colorado Island,2018-12-06 17:54:47.977205,2018-12-06 17:54:47.977205,tropics_BCI-copy,1000000127,plant,3
1000000123,Cloned from broadleaf_evergreen_tropical_tree with added priors for ED_hydro.,2018-11-26 03:49:50.223392,2018-11-26 04:02:02.537775,broadleaf_evergreen_tropical_tree_hydro,2000000014,plant,1
1000000128,Created for running models at Barro Colorado Island,2018-11-29 22:50:21.671983,2018-11-29 22:50:31.336731,tropics_BCI,1000000127,plant,1000000001
1000000120,Cloned from - Created by XF to use with early successional trees in Luquillo. Corresponds with ED default PFT 4.,2018-07-24 16:37:26.93586,2018-07-24 16:41:02.576742,luquillo_tropical,1000000113,plant,1000000001
1000000133,PalEON PFT for Acer rubrum,2019-06-19 16:33:53.113449,2019-06-19 16:33:53.113449,Ace_rub,,plant,1000000006
1000000131,Cloned from broadleaf_evergreen_tropical_tree with added priors for ED_hydro.,2018-12-07 02:27:56.403372,2018-12-07 02:53:03.558846,ED_tropical_hydro,1000000123,plant,1
1000000160,PalEON PFT for Pinus banksiana,2019-06-19 17:06:14.489099,2019-06-19 17:06:14.489099,Pin_ban,,plant,1000000006
1000000161,PalEON PFT for Quercus rubra,2019-06-19 17:09:21.902131,2019-06-19 17:09:21.902131,Que_rub,,plant,1000000006
1000000008,"",2015-11-06 13:10:46.735116,2019-07-10 19:15:52.996603,Acer.Saccharinum_Silver.Maple,,plant,1000000002
1000000165,PFT for Miscanthus x giganteus,2019-08-28 10:29:06.876432,2019-09-09 07:47:07.814515,Mis_gig,,plant,1000000006
1000000169,timothy (Phleum pratense L.),2019-09-25 07:13:55.221479,2019-09-25 07:13:55.221479,timothy,,plant,1000000013
1000000178,"Cloned from ED_tropical_hydro to include uninformative priors for leaf biomass (b1Bl, b2Bl) and rooting depth (b1Rd, b2Rd) allometric parameters that have separate informative prior entries in BETY. Note: this will no longer be necessary when we have multivariate meta-analysis implemented.  ~Betsy",2021-01-22 02:25:21.543571,2021-01-22 03:00:38.804082,ED_tropical_hydro_uc,1000000131,plant,1
1000000170,created by XF for use in prairie,2019-10-21 10:14:42.995036,2019-10-21 10:15:01.992954,ebifarm.c4grass-copy,6,plant,1000000006
1000000104,Soil biogeochemical parameters,2017-09-14 19:44:54.479113,2017-09-14 19:45:11.193177,soil.IF,1000000085,plant,3
1000000105,Generic PFT for temperate deciduous trees.  Good for SIPNET model runs.,2017-09-14 19:45:40.057295,2017-09-14 19:45:50.68066,temperate.deciduous.IF,41,plant,3
1000000080,Shade-tolerant temperate broadleaved summer green tree - Global PFT,2016-03-22 17:44:24.998264,2016-04-29 19:30:46.058216,TeBS,,plant,1000000006
1000000166,PFT for Panicum virgatum,2019-08-28 10:31:52.961512,2019-08-28 10:31:52.961512,Pan_vir,,plant,1000000006
1000000124,Created for running models at Barro Colorado Island,2018-11-26 15:56:01.714056,2018-11-26 18:53:59.351493,tropics_BCI,1000000122,plant,1000000008
1000000134,PalEON PFT for Acer saccharum,2019-06-19 16:34:44.422046,2019-06-19 16:34:44.422046,Ace_saca,,plant,1000000006
1000000130,Created for running models at Barro Colorado Island,2018-12-06 17:54:53.67297,2018-12-06 17:55:17.936614,tropics_BCI,1000000129,plant,1000000002
1000000135,PalEON PFT for Quercus alba ,2019-06-19 16:36:46.375571,2019-06-19 16:36:46.375571,Que_alb,,plant,1000000006
1000000136,PalEON PFT for Liriodendron tulipifera ,2019-06-19 16:37:49.095539,2019-06-19 16:37:49.095539,Lir_tul,,plant,1000000006
1000000137,PalEON PFT for Quercus velutina,2019-06-19 16:38:31.494033,2019-06-19 16:38:31.494033,Que_vel,,plant,1000000006
1000000138,PalEON PFT for Fagus grandifolia ,2019-06-19 16:40:47.796205,2019-06-19 16:40:47.796205,Fag_gra,,plant,1000000006
1000000139,PalEON PFT for Pinus strobus ,2019-06-19 16:41:26.66013,2019-06-19 16:41:26.66013,Pin_str,,plant,1000000006
1000000140,PalEON PFT for Fraxinus americana,2019-06-19 16:42:03.475702,2019-06-19 16:42:03.475702,Fra_ame,,plant,1000000006
1000000141,PalEON PFT for Quercus prinus,2019-06-19 16:42:36.232276,2019-06-19 16:42:36.232276,Que_pri,,plant,1000000006
1000000142,PalEON PFT for Tsuga canadensis,2019-06-19 16:43:12.95872,2019-06-19 16:43:12.95872,Tsu_can,,plant,1000000006
1000000093,"A cloned version of  D. LeBauer for use with Switchgrass at EBI Farm for the DOE Variance Decomposition Synthesis. It it used as a preliminary step to model a related grass, cogongrass. Created by Tempest McCabe April 2017. This is different than cogongrass in that it is a literal clone of the switchgrass PFT. The species associated is cogongrass. ",2017-04-12 16:41:40.057596,2017-08-01 18:21:17.713414,cogongrass2,1000000092,plant,1
1000000109,A pft for the Duke FACE site,2017-12-08 01:15:04.597843,2017-12-08 01:15:04.597843,Duke.loblolly,,plant,1000000001
1000000103,Northern Pine (early successional conifer) PFT for east temperate.  Default pft = 6.  Archetypes are red and white pine.,2017-08-31 20:30:57.650618,2017-08-31 20:32:10.091225,temperate.Northern_Pine.IF,17,plant,1
1000000143,PalEON PFT for Prunus serotina,2019-06-19 16:43:46.705254,2019-06-19 16:43:46.705254,Pru_ser,,plant,1000000006
1000000144,PalEON PFT for Ulmus americana,2019-06-19 16:45:04.221216,2019-06-19 16:45:04.221216,Ulm_ame,,plant,1000000006
