id,description,units,notes,created_at,updated_at,name,max,min,standard_name,standard_units,label,type
273,Above ground fraction of structural biomass,fraction,"stem/(stem + coarse roots);
structural biomass = wood",2011-03-04 21:41:39,2011-10-19 23:33:47,agf_bs,1,0,,,,
289,age of leaf being measured,year,used as covariate when leaf age is given. ,2011-05-03 16:08:08,2012-01-05 18:23:03,leaf_age,50,0,,,,
290,percent N in flower,percent,"",2011-05-16 20:33:35,2011-06-06 14:40:42,flowerN,100,0,,,,
291,Biomass of flower,g m-2,"",2011-05-17 22:20:45,2011-06-06 14:40:42,flower_biomass,2000,0,,,,
40,rate of leaf loss,year-1,This is the inverse of leaf_longevity,,2012-02-13 21:31:45,leaf_turnover_rate,Infinity,-Infinity,,,,
296,Vcmax at 15,umol m-2 s-1,"",2011-06-08 19:20:30,2012-04-06 18:05:40,Vm0,500,0,,,,
298,Latent heat flux,W m-2,"",2011-06-22 16:18:42,2011-06-22 16:18:42,LE,500,-500,,,,
299,Sensible heat flux,W m-2,"",2011-06-22 16:19:07,2011-06-22 16:19:07,H,500,-500,,,,
300,size class,mm,"Describes the minimum size of the root size class. Usually not required, can be left blank when root_diameter_min = 0. Can be used in to define the bounds of a root size class, e.g. root_diameter_max = 4 and root_diameter_min = 2.",2011-06-30 15:32:59,2011-06-30 15:33:56,root_diameter_min,1000,0,,,,
302,percent C in belowground live tissue,percent,"",2011-08-05 16:35:17,2011-08-05 16:35:17,rootC,100,0,,,,
303,length of time that a root lives,year,"set min < 1 d, max = 100 y",2011-09-06 22:03:51,2011-09-06 22:03:51,root_lifespan,100,0.002,,,,
256,Stem biomass,g m-2,aboveground woody biomass in trees / shrubs; sheath biomass in grasses,2011-02-20 10:29:02,2015-11-02 17:35:44.171496,stem_biomass,Infinity,0,"","","",""
265,Biomass of mature stems per area ground,g m-2,"",2011-02-28 23:19:28,2011-06-06 14:40:42,mature stem biomass,Infinity,0,,,,
266,Biomass of cabbage per area ground,g m-2,"Cabbage is the immature top of the stalk plus green leaf sheaths. This is distinct from both leaf and stalk, although it is more commonly associated with one of these pools.",2011-02-28 23:26:59,2011-06-06 14:40:42,cabbage biomass,Infinity,0,,,,
282,dry mass of total biomass,g m-2,"",2011-03-15 01:26:22,2011-06-06 14:40:42,DM_total biomass,Infinity,0,,,,
283,sucrose yield,g m-2,"",2011-03-15 01:46:30,2011-06-06 14:40:42,yield_sucrose,Infinity,0,,,,
284,fiber yield,Mg ha-1,"",2011-03-15 01:48:44,2013-09-27 20:25:02,yield_fiber,Infinity,0,,,,
319,Bark Percent C,percent,"",2012-01-05 19:00:59,2012-01-05 19:00:59,barkC,100,0,,,,
321,fraction of total plant dry weight in branch,fraction,"",2012-01-05 19:12:33,2012-01-05 19:12:33,branch_biomass_fraction,1,0,,,,
272,fine root carbon to leaf carbon allocation,[ratio],"This is allocation, not standing biomass.  In other words, this is fine root NPP over leaf NPP, not fine root biomass over leaf biomass",2011-03-04 21:25:51,2021-04-27 19:23:15.519764,FRC_LC,25,0,,,,
252,"life history stage; 0=new germinant, 1=seedling, 2=sapling/juvenile, 3=adult/mature, 4=senescent","","Can use fractions as needed for ambiguous cases. Also add height and dbh covariates if information provided.

please define any undefined classes.

Definitions:

new germinant: still using energy from seed

seedling:

sapling:

mature:

senescent: past peak productivity",2011-01-27 20:59:23,2021-04-27 19:33:37.425139,stage,4,0,,,,
269,sugar content of an aqueous solution,degrees [Brix],"",2011-02-28 23:39:06,2021-04-27 19:34:20.779136,Brix,30,0,,,,
271,Fract. of cabbage in total biomass,fraction,"",2011-03-04 04:08:22,2021-04-27 19:34:25.60032,Fraction of cabbage in total biomass,1,0,,,,
274,Fract. of green leaf in total biomass,fraction,"",2011-03-14 03:39:07,2021-04-27 19:34:28.054333,Fraction of green leaf in total biomass,1,0,,,,
275,Fract. of stalk in total biomass,fraction,"",2011-03-14 03:42:48,2021-04-27 19:34:30.731365,Fraction of stalk in total biomass,1,0,,,,
276,dry mass of green leaf,g m-2,"",2011-03-14 03:59:36,2021-04-27 19:34:34.547865,DM_green leaf,Infinity,0,,,,
277,dry mass of mature stem,g m-2,"",2011-03-14 04:04:06,2021-04-27 19:34:36.675473,DM_mature stem,Infinity,0,,,,
278,dry mass of cabbage,g m-2,"",2011-03-14 04:08:42,2021-04-27 19:34:37.133755,DM_cabbage,Infinity,0,,,,
279,dry mass of trash,g m-2,"",2011-03-14 04:12:24,2021-04-27 19:34:37.587,DM_trash,Infinity,0,,,,
286,Growing degree-days,C days,Accumulated growing degree-day threshold value for a specific biological event (e.g. leaf-out).,2011-03-28 17:29:48,2021-04-27 19:34:47.732436,GDD,10000,0,,,,
308,Leaf Biomass,g [per plant],"",2011-10-28 16:39:24,2021-04-27 19:35:39.701504,leaf_biomass_plant,100000,0,,,,
320,branch temperature during measurement,C,"",2012-01-05 19:06:48,2021-04-27 19:36:06.197085,branchT,50,-50,,,,
328,percentage of open canopy,percent,"",2012-01-06 20:24:01,2012-01-06 20:24:01,canopy_openess,100,0,,,,
331,fraction of total plant dry weight in foliage,fraction,"Optional Covariate:
Canopy Height",2012-01-06 20:39:29,2012-01-06 20:39:29,leaf_biomass_fraction,1,0,,,,
318,Air humididity percent at the time the measurement is taken,percent,"",2012-01-05 18:57:41,2012-04-11 12:53:52,air_humidity_measurement,100,0,,,,
333,relative percent of plant cover,percent,"",2012-01-06 20:46:27,2012-01-06 20:57:22,plant _cover,100,0,,,,
341,Soil carbon content,percent,"",2012-01-06 21:55:11,2012-01-06 21:55:40,soilC,100,0,,,,
329,new root carbon to new leaf carbon allocation,[ratio],"Necessary covariates:

root_diameter_min, root_diameter_ max, root_age, and leaf_age",2012-01-06 20:26:47,2021-04-27 19:23:15.519764,rootC2leafC_new,Infinity,0,,,,
